"nimi","yritys","ytunnus","osoite","postitoimipaikka","postinumero","laitospaikka","laitostyyppi","erillistuotanto_maksimi_yhteensa","erillistuotanto_tunti_yhteensa","erillistuotanto_poistettu","yhteistuotanto_teollisuus_yhteensa","yhteistuotanto_teollisuus_tunti","yhteistuotanto_teollisuus_poistettu","yhteistuotanto_kaunkolampo_yhteensa","yhteistuotanto_kaukolampo_tunti","yhteistuotanto_kaukolampo_poistettu","maksimi_yhteensa","tunti_yhteensa","poistettu_yhteensa","polttoaine1","polttoaine2","polttoaine3"
"Ahvenkoski","Oy Mankala Ab","0158738-4","Sitikkalantie 189","KAUSALA",47400,"Ahvenkoski","Vesivoima",24,24,0,0,0,0,0,0,0,24,24,0,,,
"Aittaluoto","Pori Energia Oy","0790442-4","PL 9 (Radanvarsi 2)","PORI",28101,"Pori Aittaluoto","Teollisuus CHP",0,0,0,14,4,0,29,9,0,43,13,0,"Turve","Teollisuuden puutähde","Teollisuuden puutähde"
"Aittokoski","Fortum Power & Heat , Generation","0109160-2","Keilaniementie 1","PL 100","00048 Fortum","Aittokoski","Vesivoima","44,8","44,8",0,0,0,0,0,0,0,"44,8","44,8",0,,,
"Ajos Wind Oy","Ajos Wind Oy","2695578-8","Espoontie 21","Espoo",2740,"Ajos Wind Oy","Tuulivoima","42,4","42,4",0,0,0,0,0,0,0,"42,4","42,4",0,,,
"Alakoski","Alakoski Oy","0153780-3","PL166"," Mikkeli",50101,"Alakoski, Tampere","Vesivoima","4,6","4,6",0,0,0,0,0,0,0,"4,6","4,6",0,,,
"Alholma AK 1","Oy Alholmens Kraft Ab","1102489-2","PB 250","JAKOBSTAD",68601,"AK1","Teollisuus CHP",0,0,0,30,20,0,0,0,0,30,20,0,"Teollisuuden puutähde",,"Keskiraskas öljy"
"Alholma AK 2","Oy Alholmens Kraft Ab","1102489-2","PB 250","JAKOBSTAD",68601,"AK2","Teollisuus CHP",0,0,0,240,190,0,0,0,0,240,190,0,"Turve","Kivihiili","Teollisuuden puutähde"
"Anjalankoski","Stora Enso Publication Papers Oy Ltd",8562104,"Anjalan tehtaat","Inkeroinen",46900,"Inkeroinen (Kouvola)","Teollisuus CHP",0,0,0,"160,5","160,5",0,0,0,0,"160,5","160,5",0,"Teollisuuden puutähde","Sekapolttoaineet",
"Anjalankoski, G1","Kemijoki Oy","0192171-7","PL 8131","ROVANIEMI",96101,"Anjalankoski","Vesivoima",18,18,0,0,0,0,0,0,0,18,18,0,,,
"Annankangas T1-T10","Suomen Hyötytuuli Oy","1477522-9","PL 305","Pori",28601,"Annankangas T1-T10","Tuulivoima","34,5","34,5",0,0,0,0,0,0,0,"34,5","34,5",0,,,
"Askala","Koskienergia Koskivoima Oy","2447744-7","Kotakennääntie 31","Äänekoski",44100,"Askala, Paimio","Vesivoima","1,3",1,0,0,0,0,0,0,0,"1,3",1,0,,,
"Atro","Savon Voima Oyj","0171351-2","PL 1024","Toivala",70901,"Lapinlahti, Voimalaitoksentie 1, Syvärinpää","Vesivoima","6,5","6,5",0,0,0,0,0,0,0,"6,5","6,5",0,,,
"Billnäs","Koskienergia Koskivoima Oy","2447744-7","Kotakennääntie 31","Äänekoski",44100,"Billnäs, Pohja","Vesivoima","1,8","1,8",0,0,0,0,0,0,0,"1,8","1,8",0,,,
"Björkfors","Oy HERRFORS Ab",,"Storgatan 8","68600 Jakobstad",,"Björkfors","Vesivoima","1,2","0,4",0,0,0,0,0,0,0,"1,2","0,4",0,,,
"Björknäs kraftvärmeverk","Raseborgs stad / Ekenäs Energi","0131297-0","PB 31, Kungsgatan 14","Ekenäs",10601,"Björknäs kraftvärmeverk","Kaukolämpö CHP",0,0,0,0,0,0,"3,7","3,7",0,"3,7","3,7",0,"Metsäpolttoaine, puu",,
"Elkko","Raahen Tuulienergia Oy","2342631-1","Rantakatu 8 A","Raahen Tuulienergia Oy",92100,"Elkko, Raahe","Tuulivoima",6,6,0,0,0,0,0,0,0,6,6,0,,,
"Energia-Tietola","Valkeakosken Energia Oy",10321983,"PL 89","Valkeakoski",37601,"Energia-Tietola","Kaukolämpö CHP",0,0,0,0,0,0,"11,6","11,6",0,"11,6","11,6",0,"Maakaasu",,
"Finlayson ve","Tampereen Sähkölaitos","0211675-2","PL 175","TAMPERE",33101,"Finlayson ve","Vesivoima","4,19","3,8",0,0,0,0,0,0,0,"4,19","3,8",0,,,
"Forssa kt","Fingrid Oyj","1072894-3","PL 530","Helsinki",101,"Varavoimalantie 6, 30420 Forssa
","Erillistuotanto",352,352,0,0,0,0,0,0,0,352,352,0,"Keskiraskas öljy",,
"Haapajärven Savinevan Tuulivoimala","Haapajärven Savinevan Tuulivoima Oy","2566301-1","Salomonkatu 17 A","Helsinki",100,"Haapajärven Savinevan Tuulivoima","Tuulivoima","23,1","23,1",0,0,0,0,0,0,0,"23,1","23,1",0,,,
"Haapajärvi Sauviinmäki","Haapajärvi Sauviinmäki Tuulivoima Oy","2566305-4","Jaakonkatu 3B 7 krs.","Helsinki",100,"Haapajärvi Sauviinmäki","Tuulivoima","6,6","6,6",0,0,0,0,0,0,0,"6,6","6,6",0,,,
"Haapakoski","PVO Vesivoima Oy","09404130-0","Virkkulantie 207","91100 Ii",91100,"haapakoski","Vesivoima","32,5","32,5",0,0,0,0,0,0,0,"32,5","32,5",0,,,
"Haapaniemi","Kuopion Energia Oy","2064700-4","PL105","Kuopio","Kuopio","Haapaniemen voimalaitos","Kaukolämpö CHP",0,0,0,0,0,0,"118,1","118,1",0,"118,1","118,1",0,"Turve","Raskas öljy","Metsäpolttoaine, puu"
"Haapavesi","Kanteleen Voima Oy","2069341-4","PL 47, Turvetie 112","Haapavesi",86600,"Haapaveden voimalaitos","Erillistuotanto",0,0,154,0,0,0,0,0,0,0,0,154,"Turve","Raskas öljy",
"Haapavesi","Vapo Oy",174817,"PL 22","Jyväskylä",40101,"Forssa","Teollisuus CHP",0,0,0,"2,7","2,6",0,0,0,0,"2,7","2,6",0,"Turve","Metsäpolttoaine, puu","Keskiraskas öljy"
"Hailikari","Haminan Energia Oy","0973749-8","Reutsinkatu 12","Hamina",49400,"Hailikari","Tuulivoima","3,1","3,1",0,0,0,0,0,0,0,"3,1","3,1",0,,,
"Halmekangas","Tuuliwatti Oy","2263278-9","PL 100","Helsinki","`00381","Halmekangas 1","Tuulivoima","38,5","38,5",0,0,0,0,0,0,0,"38,5","38,5",0,,,
"Hamari","Korpelan Voima kuntayhtymä","0178464-4","PL 13","Kannus",69101,"Hamari, Ylivieska","Vesivoima","2,5","2,5",0,0,0,0,0,0,0,"2,5","2,5",0,,,
"Hamina, Mäkelänkangas tv","Suomen Voima Oy","2144654-6","Mannerheiminkatu 24","06100 Porvoo",,"Hamina, Mäkelänkangas tv","Tuulivoima",8,8,0,0,0,0,0,0,0,8,8,0,,,
"Haminan höyrykattilalaitos","Haminan Energia Oy","0973749-8","Reutsinkatu 12","Hamina",48810,"Hamina","Teollisuus CHP",0,0,0,"1,5","1,5",0,0,0,0,"1,5","1,5",0,"Maakaasu",,
"Hanasaari B","Helsingin Energia",9000002882,"Kampinkuja 2","HELEN",90,"Hanasaari B","Kaukolämpö CHP",0,0,0,0,0,0,212,204,0,212,204,0,"Kivihiili","Raskas öljy",
"Hanhikoski","Vattenfall Sähköntuotanto oy","1076456-5","Maaistraatinportti 4 A","Helsinki",240,"Evijärvi / Hanhikoski","Vesivoima","1,5","1,5",0,0,0,0,0,0,0,"1,5","1,5",0,,,
"Hanko, Sändö tv 1-4","Saba Wind Oy Ab",,"c/o Ålands Företagsbyrå, Nygatan 9","Mariehamm",22100,"Hanko, Sändö tv 1-4","Tuulivoima",8,8,0,0,0,0,0,0,0,8,8,0,,,
"Harabacka",,"0855859-4",,,6100,"Harabacka","Kaukolämpö CHP",0,0,0,0,0,0,"9,6","9,4",0,"9,6","9,4",0,"Maakaasu","Keskiraskas öljy",
"Harjavalta","Länsi-Suomen Voima Oy","0132548-0","Voimalaitoksentie 70","Harjavalta",29200,"Harjavallan voimalaitos","Vesivoima",105,102,0,0,0,0,0,0,0,105,102,0,,,
